list index out of range: {'origin': 'ws', 'forged': ['ws', 'ЦС'], 'suggest': ['', ''], 'relatives': ['ws']}
list index out of range: {'origin': 'dv', 'forged': ['dv', 'ΔV'], 'suggest': ['', ''], 'relatives': ['dv']}
list index out of range: {'origin': 'wma', 'forged': ['wma', 'ЦMΛ'], 'suggest': ['', ''], 'relatives': ['wma']}
list index out of range: {'origin': 'img', 'forged': ['img', 'IMΓ'], 'suggest': ['', ''], 'relatives': ['img']}
list index out of range: {'origin': 'fixes', 'forged': ['fixes', 'FIKСΣС'], 'suggest': ['', ''], 'relatives': ['fixes']}
list index out of range: {'origin': 'specs', 'forged': ['specs', 'СПΣKС'], 'suggest': ['', ''], 'relatives': ['specs']}
list index out of range: {'origin': 'rugs', 'forged': ['rugs', 'RUΓС'], 'suggest': ['', ''], 'relatives': ['rugs']}
list index out of range: {'origin': 'earn', 'forged': ['earn', 'ΣΛRN'], 'suggest': ['', ''], 'relatives': ['earn']}
list index out of range: {'origin': 'np', 'forged': ['np', 'NП'], 'suggest': ['', ''], 'relatives': ['np']}
list index out of range: {'origin': 'justify', 'forged': ['justify', 'JUСTIFY'], 'suggest': ['', ''], 'relatives': ['justify']}
list index out of range: {'origin': 'msg', 'forged': ['msg', 'MСΓ'], 'suggest': ['', ''], 'relatives': ['msg']}
list index out of range: {'origin': 'ix', 'forged': ['ix', 'IKС'], 'suggest': ['', ''], 'relatives': ['ix']}
list index out of range: {'origin': 'src', 'forged': ['src', 'СRK'], 'suggest': ['', ''], 'relatives': ['src']}
list index out of range: {'origin': 'wn', 'forged': ['wn', 'ЦN'], 'suggest': ['', ''], 'relatives': ['wn']}
list index out of range: {'origin': 'gen', 'forged': ['gen', 'ΓΣN'], 'suggest': ['', ''], 'relatives': ['gen']}
list index out of range: {'origin': 'uniprotkb', 'forged': ['uniprotkb', 'UNIПROTKV'], 'suggest': ['', ''], 'relatives': ['uniprotkb']}
list index out of range: {'origin': 'dr', 'forged': ['dr', 'ΔR'], 'suggest': ['', ''], 'relatives': ['dr']}
list index out of range: {'origin': 'gps', 'forged': ['gps', 'ΓПС'], 'suggest': ['', ''], 'relatives': ['gps']}
list index out of range: {'origin': 'sur', 'forged': ['sur', 'СUR'], 'suggest': ['', ''], 'relatives': ['sur']}
list index out of range: {'origin': 'pics', 'forged': ['pics', 'ПIKС'], 'suggest': ['', ''], 'relatives': ['pics']}
list index out of range: {'origin': 'roger', 'forged': ['roger', 'ROΓΣR'], 'suggest': ['', ''], 'relatives': ['roger']}
list index out of range: {'origin': 'sitemap', 'forged': ['sitemap', 'СITΣMΛП'], 'suggest': ['', ''], 'relatives': ['sitemap']}
list index out of range: {'origin': 'karaoke', 'forged': ['karaoke', 'KΛRΛOKΣ'], 'suggest': ['', ''], 'relatives': ['karaoke']}
list index out of range: {'origin': 'mega', 'forged': ['mega', 'MΣΓΛ'], 'suggest': ['', ''], 'relatives': ['mega']}
list index out of range: {'origin': 'xerox', 'forged': ['xerox', 'KСΣROKС'], 'suggest': ['', ''], 'relatives': ['xerox']}
list index out of range: {'origin': 'fx', 'forged': ['fx', 'FKС'], 'suggest': ['', ''], 'relatives': ['fx']}
list index out of range: {'origin': 'reg', 'forged': ['reg', 'RΣΓ'], 'suggest': ['', ''], 'relatives': ['reg']}
list index out of range: {'origin': 'mills', 'forged': ['mills', 'MILLС'], 'suggest': ['', ''], 'relatives': ['mills']}
